show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s101,Movie,Sample Title 101,Director 36,"Actor 22, Actor 165",South Korea,23-05-2016,2021,TV-MA,94 min,Comedy,Sample description for Tableau practice dataset.
s102,TV Show,Sample Title 102,Director 31,"Actor 84, Actor 137",United Kingdom,28-02-2021,2010,TV-MA,1 Seasons,Action,Sample description for Tableau practice dataset.
s103,Movie,Sample Title 103,Director 16,"Actor 77, Actor 119",Spain,03-10-2016,2004,TV-Y,100 min,Comedy,Sample description for Tableau practice dataset.
s104,TV Show,Sample Title 104,Director 36,"Actor 25, Actor 185",South Korea,19-09-2021,2024,PG,5 Seasons,Adventure,Sample description for Tableau practice dataset.
s105,TV Show,Sample Title 105,Director 38,"Actor 75, Actor 141",Spain,03-08-2016,2000,TV-Y7,5 Seasons,Kids,Sample description for Tableau practice dataset.
s106,TV Show,Sample Title 106,Director 34,"Actor 92, Actor 119",South Korea,04-04-2020,2006,R,4 Seasons,Sci-Fi,Sample description for Tableau practice dataset.
s107,Movie,Sample Title 107,Director 27,"Actor 73, Actor 116",India,31-10-2021,2003,R,105 min,Adventure,Sample description for Tableau practice dataset.
s108,Movie,Sample Title 108,Director 31,"Actor 44, Actor 190",India,07-05-2019,2009,TV-Y,99 min,Documentary,Sample description for Tableau practice dataset.
s109,TV Show,Sample Title 109,Director 34,"Actor 36, Actor 148",United States,15-07-2017,2003,TV-Y,3 Seasons,Horror,Sample description for Tableau practice dataset.
s110,TV Show,Sample Title 110,Director 13,"Actor 35, Actor 135",South Korea,17-09-2021,2014,TV-Y,1 Seasons,Action,Sample description for Tableau practice dataset.
s111,Movie,Sample Title 111,Director 24,"Actor 17, Actor 103",Brazil,28-09-2017,2022,TV-14,136 min,Drama,Sample description for Tableau practice dataset.
s112,Movie,Sample Title 112,Director 29,"Actor 65, Actor 121",South Korea,20-10-2019,2018,TV-MA,90 min,Documentary,Sample description for Tableau practice dataset.
s113,TV Show,Sample Title 113,Director 32,"Actor 25, Actor 171",South Korea,28-06-2019,2008,PG,4 Seasons,Adventure,Sample description for Tableau practice dataset.
s114,Movie,Sample Title 114,Director 28,"Actor 43, Actor 156",United States,02-12-2020,2021,TV-Y,94 min,Sci-Fi,Sample description for Tableau practice dataset.
s115,Movie,Sample Title 115,Director 40,"Actor 6, Actor 101",Germany,14-07-2016,2011,R,104 min,Horror,Sample description for Tableau practice dataset.
s116,TV Show,Sample Title 116,Director 16,"Actor 65, Actor 188",Spain,20-05-2016,2017,TV-14,3 Seasons,Sci-Fi,Sample description for Tableau practice dataset.
s117,Movie,Sample Title 117,Director 34,"Actor 18, Actor 159",France,26-04-2020,2016,TV-MA,136 min,Kids,Sample description for Tableau practice dataset.
s118,TV Show,Sample Title 118,Director 37,"Actor 39, Actor 143",Japan,11-02-2022,2007,R,4 Seasons,Horror,Sample description for Tableau practice dataset.
s119,Movie,Sample Title 119,Director 19,"Actor 86, Actor 118",France,17-03-2016,2003,TV-Y,117 min,Sci-Fi,Sample description for Tableau practice dataset.
s120,Movie,Sample Title 120,Director 28,"Actor 25, Actor 109",Canada,31-08-2022,2019,PG,131 min,Romance,Sample description for Tableau practice dataset.
s121,TV Show,Sample Title 121,Director 22,"Actor 17, Actor 141",Japan,06-04-2020,2010,TV-14,3 Seasons,Horror,Sample description for Tableau practice dataset.
s122,TV Show,Sample Title 122,Director 29,"Actor 23, Actor 174",Spain,29-10-2022,2020,PG,1 Seasons,Horror,Sample description for Tableau practice dataset.
s123,TV Show,Sample Title 123,Director 40,"Actor 52, Actor 176",Germany,18-04-2018,2012,R,5 Seasons,Thriller,Sample description for Tableau practice dataset.
s124,TV Show,Sample Title 124,Director 15,"Actor 77, Actor 116",Canada,05-04-2018,2024,TV-Y7,3 Seasons,Documentary,Sample description for Tableau practice dataset.
s125,TV Show,Sample Title 125,Director 21,"Actor 86, Actor 162",Spain,19-03-2019,2010,TV-Y,3 Seasons,Drama,Sample description for Tableau practice dataset.
s126,TV Show,Sample Title 126,Director 21,"Actor 50, Actor 108",Brazil,21-03-2021,2017,R,1 Seasons,Comedy,Sample description for Tableau practice dataset.
s127,Movie,Sample Title 127,Director 8,"Actor 76, Actor 159",United States,15-05-2020,2002,PG-13,109 min,Horror,Sample description for Tableau practice dataset.
s128,TV Show,Sample Title 128,Director 23,"Actor 9, Actor 104",United Kingdom,04-04-2022,2006,TV-MA,5 Seasons,Sci-Fi,Sample description for Tableau practice dataset.
s129,TV Show,Sample Title 129,Director 1,"Actor 46, Actor 101",India,24-04-2018,2016,TV-Y,5 Seasons,Thriller,Sample description for Tableau practice dataset.
s130,TV Show,Sample Title 130,Director 2,"Actor 40, Actor 189",Japan,27-05-2016,2024,TV-MA,3 Seasons,Comedy,Sample description for Tableau practice dataset.
s131,Movie,Sample Title 131,Director 17,"Actor 97, Actor 125",South Korea,15-06-2022,2022,TV-Y7,95 min,Action,Sample description for Tableau practice dataset.
s132,Movie,Sample Title 132,Director 6,"Actor 19, Actor 126",Canada,11-11-2019,2005,TV-14,94 min,Sci-Fi,Sample description for Tableau practice dataset.
s133,Movie,Sample Title 133,Director 24,"Actor 76, Actor 119",Canada,27-10-2016,2006,PG,83 min,Drama,Sample description for Tableau practice dataset.
s134,TV Show,Sample Title 134,Director 32,"Actor 99, Actor 116",Canada,27-06-2017,2012,R,3 Seasons,Romance,Sample description for Tableau practice dataset.
s135,Movie,Sample Title 135,Director 27,"Actor 87, Actor 134",India,24-02-2017,2006,TV-Y,102 min,Kids,Sample description for Tableau practice dataset.
s136,Movie,Sample Title 136,Director 18,"Actor 46, Actor 142",Brazil,27-01-2020,2004,TV-14,126 min,Sci-Fi,Sample description for Tableau practice dataset.
s137,Movie,Sample Title 137,Director 32,"Actor 23, Actor 178",India,23-08-2016,2000,PG,126 min,Romance,Sample description for Tableau practice dataset.
s138,Movie,Sample Title 138,Director 26,"Actor 100, Actor 113",Spain,23-03-2021,2009,PG,84 min,Documentary,Sample description for Tableau practice dataset.
s139,TV Show,Sample Title 139,Director 9,"Actor 45, Actor 180",Spain,16-05-2016,2012,TV-14,4 Seasons,Kids,Sample description for Tableau practice dataset.
s140,Movie,Sample Title 140,Director 39,"Actor 83, Actor 192",India,07-02-2016,2004,PG-13,94 min,Sci-Fi,Sample description for Tableau practice dataset.
s141,Movie,Sample Title 141,Director 11,"Actor 44, Actor 151",United States,26-11-2019,2011,TV-MA,124 min,Thriller,Sample description for Tableau practice dataset.
s142,TV Show,Sample Title 142,Director 10,"Actor 20, Actor 124",Spain,27-07-2016,2011,TV-Y7,1 Seasons,Action,Sample description for Tableau practice dataset.
s143,Movie,Sample Title 143,Director 21,"Actor 11, Actor 174",South Korea,19-05-2021,2011,TV-14,122 min,Comedy,Sample description for Tableau practice dataset.
s144,TV Show,Sample Title 144,Director 40,"Actor 46, Actor 155",India,28-04-2017,2008,TV-Y,1 Seasons,Action,Sample description for Tableau practice dataset.
s145,TV Show,Sample Title 145,Director 17,"Actor 71, Actor 147",France,21-10-2021,2004,TV-Y,5 Seasons,Drama,Sample description for Tableau practice dataset.
s146,TV Show,Sample Title 146,Director 5,"Actor 11, Actor 186",Japan,06-07-2016,2023,TV-MA,4 Seasons,Drama,Sample description for Tableau practice dataset.
s147,Movie,Sample Title 147,Director 13,"Actor 41, Actor 162",Canada,13-03-2018,2021,TV-14,89 min,Romance,Sample description for Tableau practice dataset.
s148,Movie,Sample Title 148,Director 29,"Actor 74, Actor 180",Japan,04-11-2020,2009,TV-Y7,100 min,Sci-Fi,Sample description for Tableau practice dataset.
s149,TV Show,Sample Title 149,Director 17,"Actor 62, Actor 119",Japan,30-11-2018,2007,TV-14,4 Seasons,Drama,Sample description for Tableau practice dataset.
s150,Movie,Sample Title 150,Director 23,"Actor 45, Actor 186",France,30-05-2021,2009,PG,138 min,Comedy,Sample description for Tableau practice dataset.
s151,TV Show,Sample Title 151,Director 3,"Actor 50, Actor 164",Japan,16-05-2019,2005,PG-13,4 Seasons,Romance,Sample description for Tableau practice dataset.
s152,Movie,Sample Title 152,Director 22,"Actor 99, Actor 157",Spain,16-10-2017,2019,PG-13,107 min,Drama,Sample description for Tableau practice dataset.
s153,TV Show,Sample Title 153,Director 5,"Actor 62, Actor 191",India,03-03-2020,2003,TV-Y,1 Seasons,Documentary,Sample description for Tableau practice dataset.
s154,Movie,Sample Title 154,Director 18,"Actor 19, Actor 160",Spain,29-01-2020,2003,TV-Y7,139 min,Comedy,Sample description for Tableau practice dataset.
s155,Movie,Sample Title 155,Director 35,"Actor 33, Actor 111",India,10-07-2021,2009,PG-13,126 min,Romance,Sample description for Tableau practice dataset.
s156,TV Show,Sample Title 156,Director 15,"Actor 40, Actor 127",Japan,24-05-2020,2017,TV-Y,1 Seasons,Thriller,Sample description for Tableau practice dataset.
s157,Movie,Sample Title 157,Director 10,"Actor 94, Actor 136",United Kingdom,26-12-2021,2014,R,94 min,Horror,Sample description for Tableau practice dataset.
s158,Movie,Sample Title 158,Director 16,"Actor 37, Actor 145",Germany,10-04-2016,2001,PG,111 min,Kids,Sample description for Tableau practice dataset.
s159,Movie,Sample Title 159,Director 12,"Actor 71, Actor 112",Brazil,22-07-2019,2017,TV-14,106 min,Sci-Fi,Sample description for Tableau practice dataset.
s160,Movie,Sample Title 160,Director 40,"Actor 4, Actor 129",France,03-01-2022,2021,TV-14,117 min,Comedy,Sample description for Tableau practice dataset.
s161,TV Show,Sample Title 161,Director 17,"Actor 30, Actor 154",United States,01-08-2022,2013,PG,3 Seasons,Documentary,Sample description for Tableau practice dataset.
s162,TV Show,Sample Title 162,Director 20,"Actor 58, Actor 138",South Korea,27-09-2018,2003,TV-14,3 Seasons,Comedy,Sample description for Tableau practice dataset.
s163,Movie,Sample Title 163,Director 15,"Actor 35, Actor 143",Japan,20-01-2022,2001,TV-MA,97 min,Action,Sample description for Tableau practice dataset.
s164,TV Show,Sample Title 164,Director 20,"Actor 79, Actor 112",Brazil,01-09-2022,2004,R,3 Seasons,Kids,Sample description for Tableau practice dataset.
s165,TV Show,Sample Title 165,Director 22,"Actor 34, Actor 190",South Korea,17-11-2019,2011,PG-13,5 Seasons,Horror,Sample description for Tableau practice dataset.
s166,Movie,Sample Title 166,Director 31,"Actor 19, Actor 167",Brazil,23-02-2020,2003,TV-Y,86 min,Comedy,Sample description for Tableau practice dataset.
s167,Movie,Sample Title 167,Director 29,"Actor 40, Actor 110",Canada,04-04-2022,2013,PG,95 min,Adventure,Sample description for Tableau practice dataset.
s168,TV Show,Sample Title 168,Director 34,"Actor 59, Actor 188",Germany,09-11-2019,2023,TV-Y7,1 Seasons,Sci-Fi,Sample description for Tableau practice dataset.
s169,TV Show,Sample Title 169,Director 34,"Actor 99, Actor 104",Japan,09-10-2017,2013,TV-Y,5 Seasons,Sci-Fi,Sample description for Tableau practice dataset.
s170,Movie,Sample Title 170,Director 32,"Actor 74, Actor 138",India,22-09-2020,2007,R,108 min,Thriller,Sample description for Tableau practice dataset.
s171,TV Show,Sample Title 171,Director 39,"Actor 13, Actor 158",United Kingdom,16-01-2016,2017,PG,5 Seasons,Horror,Sample description for Tableau practice dataset.
s172,Movie,Sample Title 172,Director 14,"Actor 72, Actor 134",France,30-12-2017,2021,PG,80 min,Comedy,Sample description for Tableau practice dataset.
s173,Movie,Sample Title 173,Director 8,"Actor 16, Actor 187",United States,20-06-2021,2018,TV-Y7,116 min,Action,Sample description for Tableau practice dataset.
s174,TV Show,Sample Title 174,Director 10,"Actor 61, Actor 197",South Korea,07-10-2022,2014,PG-13,1 Seasons,Sci-Fi,Sample description for Tableau practice dataset.
s175,Movie,Sample Title 175,Director 29,"Actor 16, Actor 174",Spain,28-07-2022,2003,R,89 min,Kids,Sample description for Tableau practice dataset.
s176,Movie,Sample Title 176,Director 26,"Actor 59, Actor 111",United Kingdom,27-02-2017,2003,TV-14,94 min,Sci-Fi,Sample description for Tableau practice dataset.
s177,TV Show,Sample Title 177,Director 11,"Actor 40, Actor 159",France,22-07-2017,2016,PG-13,1 Seasons,Kids,Sample description for Tableau practice dataset.
s178,TV Show,Sample Title 178,Director 29,"Actor 61, Actor 138",Germany,14-07-2018,2001,TV-14,2 Seasons,Documentary,Sample description for Tableau practice dataset.
s179,Movie,Sample Title 179,Director 31,"Actor 63, Actor 132",Japan,09-04-2020,2003,TV-MA,103 min,Horror,Sample description for Tableau practice dataset.
s180,TV Show,Sample Title 180,Director 14,"Actor 30, Actor 168",South Korea,01-07-2019,2021,PG-13,4 Seasons,Sci-Fi,Sample description for Tableau practice dataset.
s181,Movie,Sample Title 181,Director 16,"Actor 2, Actor 191",South Korea,12-01-2016,2003,TV-MA,84 min,Drama,Sample description for Tableau practice dataset.
s182,Movie,Sample Title 182,Director 29,"Actor 77, Actor 175",Brazil,26-09-2016,2016,PG,116 min,Thriller,Sample description for Tableau practice dataset.
s183,Movie,Sample Title 183,Director 9,"Actor 96, Actor 174",Japan,19-02-2020,2003,R,100 min,Thriller,Sample description for Tableau practice dataset.
s184,TV Show,Sample Title 184,Director 23,"Actor 1, Actor 176",United Kingdom,27-05-2017,2013,TV-Y7,1 Seasons,Horror,Sample description for Tableau practice dataset.
s185,Movie,Sample Title 185,Director 29,"Actor 80, Actor 127",Japan,01-11-2018,2015,R,85 min,Romance,Sample description for Tableau practice dataset.
s186,Movie,Sample Title 186,Director 5,"Actor 24, Actor 127",France,07-04-2018,2009,PG,119 min,Thriller,Sample description for Tableau practice dataset.
s187,Movie,Sample Title 187,Director 21,"Actor 75, Actor 162",Germany,12-02-2016,2016,TV-Y7,101 min,Action,Sample description for Tableau practice dataset.
s188,TV Show,Sample Title 188,Director 31,"Actor 49, Actor 123",United States,15-07-2022,2016,TV-14,3 Seasons,Sci-Fi,Sample description for Tableau practice dataset.
s189,TV Show,Sample Title 189,Director 10,"Actor 89, Actor 158",United States,21-10-2016,2013,TV-MA,2 Seasons,Thriller,Sample description for Tableau practice dataset.
s190,Movie,Sample Title 190,Director 6,"Actor 11, Actor 180",United Kingdom,29-08-2020,2006,TV-Y7,109 min,Sci-Fi,Sample description for Tableau practice dataset.
s191,TV Show,Sample Title 191,Director 18,"Actor 82, Actor 103",Brazil,20-04-2018,2008,PG-13,2 Seasons,Documentary,Sample description for Tableau practice dataset.
s192,TV Show,Sample Title 192,Director 30,"Actor 96, Actor 186",Germany,25-05-2022,2000,TV-14,2 Seasons,Romance,Sample description for Tableau practice dataset.
s193,Movie,Sample Title 193,Director 37,"Actor 46, Actor 157",Spain,06-08-2016,2023,PG-13,127 min,Horror,Sample description for Tableau practice dataset.
s194,TV Show,Sample Title 194,Director 1,"Actor 72, Actor 102",Brazil,12-04-2018,2005,TV-14,4 Seasons,Comedy,Sample description for Tableau practice dataset.
s195,Movie,Sample Title 195,Director 40,"Actor 65, Actor 132",United States,25-10-2018,2002,TV-Y,130 min,Documentary,Sample description for Tableau practice dataset.
s196,TV Show,Sample Title 196,Director 27,"Actor 49, Actor 179",Canada,27-03-2017,2003,R,2 Seasons,Horror,Sample description for Tableau practice dataset.
s197,TV Show,Sample Title 197,Director 1,"Actor 44, Actor 154",United Kingdom,30-05-2021,2009,TV-Y,5 Seasons,Drama,Sample description for Tableau practice dataset.
s198,TV Show,Sample Title 198,Director 34,"Actor 27, Actor 199",France,19-12-2017,2024,PG-13,4 Seasons,Adventure,Sample description for Tableau practice dataset.
s199,Movie,Sample Title 199,Director 3,"Actor 82, Actor 105",South Korea,09-06-2018,2018,TV-Y,102 min,Adventure,Sample description for Tableau practice dataset.
s200,Movie,Sample Title 200,Director 12,"Actor 58, Actor 145",Japan,20-01-2020,2011,TV-Y7,85 min,Romance,Sample description for Tableau practice dataset.
